place_id,name,dow,day,hour,busyness_pct,level,model_version
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,15,54,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,16,46,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,17,45,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,18,50,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,19,40,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,20,35,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,21,26,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,22,21,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,2,wednesday,23,20,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,3,thursday,0,17,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,3,thursday,1,8,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,3,thursday,2,9,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,3,thursday,3,8,quiet,gbm_v1
